,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
occ_wage_share,-0.188126449241211,-0.10343543083944264,0.11305298600594017,-0.07976794616201119,-0.03929989434658511,-0.003721036985930076,0.04680059811093778,0.12257556381009138,-0.03256854181973882,0.0864964510672685,-0.12835016523904302
occ_regular_share,-0.18762016106527105,-0.053265897330625527,0.08199838425385833,-0.1258619577717041,-0.15155639450973044,-0.027979302032009913,0.06528771285566866,0.05083070155364807,-0.047117415878541576,0.10640285500670599,-0.1130914844253669
occ_nonwage_share,0.18813097690820635,0.10336527811660651,-0.1130144372766293,0.07974014420453703,0.03915355589698518,0.003730345075284731,-0.046553826794587916,-0.12243377200514413,0.03265825533683013,-0.08680563339811072,0.1291111350489946
job_professional,-0.15995534841526327,-0.0764225588376342,-0.16764047809637436,-0.12212957682034419,-0.26436808406574247,-0.007247291600704237,0.05389723322186667,0.03913939109718517,-0.0212682691333576,0.025615503213642716,0.024804695867567225
job_clerical,-0.17397542562145174,-0.08648238156097499,-0.08604033401978273,-0.12063974024156608,-0.20714718631396153,0.03940260030826108,0.015454898814669844,0.1014764701482086,-0.026498500490408607,0.07727843391005013,-0.007454918109538282
job_service_sales,-0.06804812435764226,-0.25023531803122967,-0.0310558892396682,0.18094321739132765,0.20860588924993256,-0.04113891672632613,-0.07353703774972889,0.13950205150994752,0.08397456860087664,-0.1228236723924422,0.09297968253554086
job_skilled_machine,-0.046450046033176394,0.022445907648158642,0.4343817032009027,0.019354458539207402,0.17179302580838168,-0.1227657724143694,0.04215822686905204,-0.08229218620479435,-0.05527912356655293,0.049517703679036726,-0.1096295430937874
job_simple_labor,0.05046328260679171,-0.07921295389638472,0.18013001396579462,0.15476112629794198,0.37343838125034723,0.06066487216627573,-0.0393815221956671,0.3492927030340466,0.024273000046315198,0.023723388204437666,-0.1773732954159591
job_farming,0.18590470239132148,0.14196340201793445,-0.09972699765873518,0.021030169656025294,0.013168614021494007,0.0341809184926034,-0.029957107981894448,-0.12429352487516585,0.01502238714697561,-0.034937031417575815,0.05632106817638406
ind_agriculture,0.1862784754548977,0.14190516772203138,-0.09799332861002527,0.02334091011549919,0.01750105094979095,0.0332193980145606,-0.028974741731364904,-0.11872604216870054,0.01370140281132565,-0.03139537900605233,0.051827248222884814
ind_manufacturing,-0.06260095174635653,0.10045716695619712,0.39310674667168083,-0.08826054158478183,0.02516865280549035,-0.14353035244419016,0.043547731119274125,-0.21469138222217424,-0.06618097725045521,0.1852192825929005,-0.14133040428169868
ind_construction,-0.06777850511388543,-0.09530914023303405,0.1953603617257156,0.05970985591572393,0.21059680949590487,0.09537213129613449,0.07028076027894423,0.3848750230853355,0.015087577646958391,-0.3485864777027198,0.251329776882164
ind_retail_food,-0.11889259396791879,-0.23093367637291776,-0.09076475990707798,0.06307693813405535,0.1170300555853333,0.004289895787849419,-0.09117640720357775,0.1583792599740477,0.03772868305560699,-0.006278459131294288,0.15170356663796694
ind_transport_finance,-0.1518661407175784,-0.12296991234618784,-0.11665089874180648,-0.11115548980945593,-0.16037847664696378,0.08830020392507937,-0.047128869871262254,0.06771249630014774,-0.07035362313283419,0.12733058711499876,-0.03589233664604895
ind_services,-0.13046595760974214,-0.18115428875893866,-0.16395779245115752,0.061403525051325916,-0.09558442005894588,-0.018732297950720674,0.07600538760071444,0.2601903726932546,0.04889619264091723,-0.12418956154662136,-0.07475036601182192
nonp_male_share,0.06729860981349739,-0.14378483895940408,-0.13935307483641407,0.25358240648149644,0.22829308195357156,-0.11744318293938437,0.15039837579368906,0.08467156597817684,-0.0030940328669186393,0.4601803802976821,-0.12709256286503332
nonp_young_share,-0.056190917855145045,0.07618373658196265,0.034148828489081004,0.06498311218220781,-0.15270591213079748,-0.23478522256834009,0.5369074595953035,0.25705987844238887,0.08331893076987368,0.21638630980232978,-0.07882147304284026
nonp_middle_share,-0.12954757309956244,0.09942185669723481,0.23830117369384193,-0.17137253005066144,-0.0658103056962487,-0.08421399884706104,0.02830850949805769,0.08294716277096074,-0.0506849772964939,-0.057215805093847015,-0.026375394403734046
log_apt_price,-0.14203439710971208,-0.049670780897562876,0.007760055113573507,-0.08843638784064622,-0.054706064691467604,0.0645007648984345,-0.155567443054475,0.05730496012081752,0.16042115720270073,-0.061549049832932044,0.3168534936399805
