prov,sgg,dong_norm,median_apt_price_sqm
Gyeonggi,고양,지축동,1231.386328901521
Gyeonggi,고양,탄현동,512.5201347195782
Gyeonggi,고양,토당동,743.5171514147855
Gyeonggi,고양,풍동,616.5994623655914
Gyeonggi,고양,행신동,705.1737749749727
Gyeonggi,고양,향동동,1268.2540510148146
Gyeonggi,고양,화정동,765.4713775926048
Gyeonggi,과천,갈현동,2039.3728633738065
Gyeonggi,과천,별양동,1978.2189326340467
Gyeonggi,과천,부림동,2259.6153846153848
Gyeonggi,과천,원문동,2156.579208662667
Gyeonggi,과천,중앙동,2295.5489893698423
Gyeonggi,광명,광명동,836.4576906648948
Gyeonggi,광명,소하동,992.2378349173268
Gyeonggi,광명,일직동,1733.6945196916024
Gyeonggi,광명,철산동,1154.173025467178
Gyeonggi,광명,하안동,1171.4056868241892
Gyeonggi,광주,경안동,525.3850523198356
Gyeonggi,광주,고산동,469.5672848311935
Gyeonggi,광주,곤지암리,388.37236671766505
Gyeonggi,광주,능평동,482.37620873477425
Gyeonggi,광주,대쌍령리,389.14635440619804
Gyeonggi,광주,도평리,342.8990339706526
Gyeonggi,광주,매산동,318.358684117439
Gyeonggi,광주,목현동,412.7309819459676
Gyeonggi,광주,문형동,505.90556507886834
Gyeonggi,광주,산이리,450.00900018000357
Gyeonggi,광주,삼동,718.4754187180514
Gyeonggi,광주,삼리,378.8941902890822
Gyeonggi,광주,송정동,447.27772651085706
Gyeonggi,광주,신현동,704.8894337309633
Gyeonggi,광주,쌍동리,623.7602764505544
Gyeonggi,광주,쌍령동,470.85546630070866
Gyeonggi,광주,양벌동,400.3296832685741
Gyeonggi,광주,역동,959.8409608302449
Gyeonggi,광주,용수리,358.9755661221223
Gyeonggi,광주,장지동,469.80182261886523
Gyeonggi,광주,지월리,300.2543330821402
Gyeonggi,광주,진우리,267.0902459112837
Gyeonggi,광주,추자동,518.2634875127947
Gyeonggi,광주,탄벌동,467.91443850267376
Gyeonggi,광주,태전동,794.4382262489452
Gyeonggi,광주,회덕동,421.6303038415206
Gyeonggi,구리,갈매동,976.6726427018702
Gyeonggi,구리,교문동,1018.3759483292934
Gyeonggi,구리,수택동,863.8393130667217
Gyeonggi,구리,인창동,882.8722778104768
Gyeonggi,구리,토평동,944.0575119836301
Gyeonggi,군포,금정동,780.1043828208515
Gyeonggi,군포,당동,611.8002011397922
Gyeonggi,군포,당정동,612.6843709421273
Gyeonggi,군포,대야미동,675.619614304171
Gyeonggi,군포,도마교동,799.3061115559115
Gyeonggi,군포,부곡동,784.6959378394968
Gyeonggi,군포,산본동,800.2000555722275
Gyeonggi,김포,감정동,420.6999181826897
Gyeonggi,김포,걸포동,668.2258603407952
Gyeonggi,김포,구래동,693.4497497806416
Gyeonggi,김포,도사리,306.4556051908865
Gyeonggi,김포,마곡리,457.3170731707317
Gyeonggi,김포,마산동,603.850450365875
Gyeonggi,김포,마송리,298.4925293489861
Gyeonggi,김포,북변동,537.2225593680671
Gyeonggi,김포,사우동,538.8722055388722
Gyeonggi,김포,서암리,228.8527625651186
Gyeonggi,김포,신곡리,697.3243740219605
Gyeonggi,김포,양곡리,446.1431838385513
Gyeonggi,김포,운양동,730.5075259948748
Gyeonggi,김포,장기동,659.9882144961698
Gyeonggi,김포,태리,929.8690414815756
Gyeonggi,김포,풍무동,559.1352165826522
Gyeonggi,김포,학운리,357.2565526511266
Gyeonggi,김포,향산리,883.2269997298365
Gyeonggi,남양주,가곡리,342.09907047887987
Gyeonggi,남양주,금곡동,339.8317448196542
Gyeonggi,남양주,금곡리,643.6354223939641
Gyeonggi,남양주,내각리,347.7882838821867
Gyeonggi,남양주,녹촌리,696.1969680921272
Gyeonggi,남양주,다산동,1046.2919509071517
Gyeonggi,남양주,답내리,273.6408831641264
Gyeonggi,남양주,덕소리,742.3327083574729
Gyeonggi,남양주,도곡리,686.479025224333
Gyeonggi,남양주,마석우리,500.78959212089035
Gyeonggi,남양주,묵현리,375.03533968935983
Gyeonggi,남양주,별내동,850.2209640197699
Gyeonggi,남양주,부평리,431.4230799403781
Gyeonggi,남양주,사능리,237.91608787364305
Gyeonggi,남양주,신월리,448.39355066494056
Gyeonggi,남양주,양지리,492.7102426555905
Gyeonggi,남양주,연평리,541.6687245405146
Gyeonggi,남양주,오남리,375.37537537537537
Gyeonggi,남양주,용정리,410.30880491494554
Gyeonggi,남양주,월산리,447.1761415053596
Gyeonggi,남양주,장현리,376.86962797033914
Gyeonggi,남양주,진관리,525.0
Gyeonggi,남양주,진벌리,353.02424099788186
Gyeonggi,남양주,차산리,420.08397903544943
Gyeonggi,남양주,창현리,469.91957524851773
Gyeonggi,남양주,청학리,450.8265152780097
Gyeonggi,남양주,퇴계원리,650.0
Gyeonggi,남양주,팔야리,135.94344752582924
Gyeonggi,남양주,평내동,546.2431218886902
Gyeonggi,남양주,호평동,588.3737349964697
Gyeonggi,동두천,광암동,71.71314741035857
Gyeonggi,동두천,동두천동,262.6717381526775
Gyeonggi,동두천,보산동,139.26152875625797
Gyeonggi,동두천,상패동,163.78066226026812
Gyeonggi,동두천,생연동,202.46727563800735
Gyeonggi,동두천,송내동,330.3227423105844
Gyeonggi,동두천,지행동,351.8886679920477
Gyeonggi,부천,고강동,378.03949559838213
Gyeonggi,부천,괴안동,502.0347822851594
Gyeonggi,부천,내동,391.2895542701599
Gyeonggi,부천,도당동,311.0419906687403
Gyeonggi,부천,범박동,771.3141780499293
Gyeonggi,부천,삼정동,355.09405848388894
Gyeonggi,부천,상동,745.4222454743087
Gyeonggi,부천,소사동,426.6334819302431
Gyeonggi,부천,소사본동,622.272030199363
Gyeonggi,부천,송내동,588.8241202774177
Gyeonggi,부천,심곡동,537.43961352657
Gyeonggi,부천,심곡본동,504.3360263920338
Gyeonggi,부천,약대동,855.791962174941
Gyeonggi,부천,여월동,528.2784338098197
Gyeonggi,부천,역곡동,654.1291905151268
Gyeonggi,부천,오정동,461.32344300408215
Gyeonggi,부천,옥길동,977.0913539852453
Gyeonggi,부천,원미동,541.6713164942844
Gyeonggi,부천,원종동,499.8097038098914
Gyeonggi,부천,작동,430.55555555555554
Gyeonggi,부천,중동,749.4464316130131
Gyeonggi,부천,춘의동,559.0208308814875
Gyeonggi,성남,고등동,1596.8240994727596
Gyeonggi,성남,구미동,1399.8508864742712
Gyeonggi,성남,금곡동,1618.1229773462783
Gyeonggi,성남,금광동,1104.368730025266
Gyeonggi,성남,단대동,1019.0895741556535
Gyeonggi,성남,대장동,1117.9416782760927
Gyeonggi,성남,도촌동,966.6391606742898
Gyeonggi,성남,백현동,2068.9581792091776
Gyeonggi,성남,분당동,1387.4958207957204
Gyeonggi,성남,삼평동,2171.809841534612
Gyeonggi,성남,상대원동,1050.420168067227
Gyeonggi,성남,서현동,1511.9308326468836
Gyeonggi,성남,성남동,669.8564593301436
Gyeonggi,성남,수내동,1629.4915357022992
Gyeonggi,성남,수진동,980.2490126861295
Gyeonggi,성남,신흥동,1487.5176289773394
Gyeonggi,성남,야탑동,1388.888888888889
Gyeonggi,성남,양지동,760.1362815761968
Gyeonggi,성남,여수동,1443.3930136577383
Gyeonggi,성남,운중동,1627.3442542872594
Gyeonggi,성남,은행동,1108.6631076462447
Gyeonggi,성남,이매동,1650.923834673113
Gyeonggi,성남,정자동,1623.933661463821
Gyeonggi,성남,중앙동,1309.9320154651064
Gyeonggi,성남,창곡동,1758.9937591865257
Gyeonggi,성남,태평동,933.8036937123885
Gyeonggi,성남,판교동,1801.906311496621
Gyeonggi,성남,하대원동,882.5346463583744
Gyeonggi,수원,고등동,1032.258064516129
Gyeonggi,수원,고색동,441.90677607388074
Gyeonggi,수원,곡반정동,518.659971237947
Gyeonggi,수원,교동,492.9042067916878
Gyeonggi,수원,구운동,607.2555205047319
Gyeonggi,수원,권선동,699.0369359297954
Gyeonggi,수원,금곡동,598.1511691136487
Gyeonggi,수원,당수동,467.8950897052143
Gyeonggi,수원,망포동,764.9866774627864
Gyeonggi,수원,매교동,452.418096723869
