elec,level,channel,source,n_units,p_no_fraud,p_nf_lo,p_nf_hi,p_incr,p_ext,fraud_share,Ft,Ft_lo,Ft_hi,Fw,Fw_lo,Fw_hi,n_flagged,rhat,not_converged,M1,M2,M3,D1,D2,D3,mebane_flag_which,n_iter,parcomp,elapsed,leader_side
19,dong,total_no_early,marginal_null,2923,0.9928,0.9892,0.996,0.0069,0.0002,0.0071,23269.1,1461.0,66455.0,47290.4,3028.0,134962.0,5,1.2336,True,0.0021,0.0021,0.0,0.9955,0.9973,0.9915,,5000,FALSE,4443.0,dem
19,dong,total_no_early,joint_null,2923,0.997,0.9944,0.9996,0.0026,0.0002,0.0028,12144.8,0.0,48555.0,24787.2,0.0,99011.0,0,1.9717,True,0.0027,0.0027,0.0,0.9991,0.7841,0.9628,,3000,TRUE,1137.7,dem
pres16,constituency,total_no_early,real,244,0.8741,0.8223,0.9217,0.1219,0.0028,0.1247,894979.9,107062.9,2325170.0,1960597.5,219352.0,5106350.4,14,1.4532,True,0.0411,0.0414,0.0005,0.9934,1.0,0.9946,,5000,FALSE,358.8,dem
pres16,constituency,total_no_early,marginal_null,244,0.8541,0.7772,0.9252,0.1394,0.0047,0.1441,1423621.8,104161.1,3796930.4,2982200.5,215968.1,8009271.0,17,2.7941,True,0.0797,0.0783,0.0044,0.0,0.0,0.9991,"pi1, pi2",5000,FALSE,240.5,dem
pres16,constituency,total_no_early,joint_null,244,0.8455,0.7888,0.893,0.1503,0.0028,0.1531,1117803.0,197256.1,2837477.3,2350835.4,385497.2,5984102.6,23,1.3241,True,0.0361,0.0361,0.0007,0.9951,1.0,0.9909,,5000,FALSE,238.6,dem
pres16,dong,total_no_early,real,3515,0.8548,0.8307,0.8875,0.1446,0.0007,0.1453,828958.4,62653.0,2343157.0,2188462.0,161264.0,6161044.1,355,2.985,True,0.0376,0.0364,0.0014,0.9994,0.9996,0.9979,,3000,TRUE,1448.4,dem
pres16,dong,total_no_early,marginal_null,3515,0.8498,0.8351,0.8652,0.148,0.0021,0.15,1050797.3,86063.1,2830658.0,2492242.2,190554.1,6804106.1,356,1.5165,True,0.0118,0.0103,0.0014,1.0,0.9814,0.996,,3000,TRUE,1863.4,dem
pres16,dong,total_no_early,joint_null,3515,0.8753,0.8556,0.8917,0.124,0.0006,0.1246,821089.1,30792.0,2628287.0,2013903.6,83199.0,6162834.0,269,1.7316,True,0.0182,0.0179,0.0003,0.9964,1.0,0.9961,,3000,TRUE,1808.9,dem
pres17,constituency,total_no_early,real,248,0.9167,0.8686,0.9566,0.0792,0.0028,0.082,565622.8,66381.9,1208082.1,1218100.5,154784.0,2608114.2,11,1.637,True,0.0364,0.0367,0.0004,1.0,1.0,1.0,,5000,FALSE,240.2,dem
pres17,constituency,total_no_early,marginal_null,248,0.925,0.868,0.9791,0.0708,0.0028,0.0736,451914.5,9458.0,1368010.8,973232.7,19355.0,2942926.9,7,2.6391,True,0.0721,0.0724,0.0005,1.0,0.8131,1.0,,5000,FALSE,239.5,dem
