"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-04-01 ~ 2021-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"75","인천광역시 남동구 구월동","1189-8","1189","0008","이화","74.3700","202104","30","17,500","-","4","-","-","1984","남동대로726번길 15-4","-","-","-","-"
"76","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202104","30","37,800","-","20","-","-","1996","부흥로 246","-","-","-","-"
"77","부산광역시 서구 부민동1가","32-6","0032","0006","허브센티움","84.9300","202104","30","29,000","-","11","-","-","2008","구덕로 196","-","-","-","-"
"78","부산광역시 서구 부민동1가","32-6","0032","0006","허브센티움","84.9300","202104","30","29,000","-","11","-","-","2008","구덕로 196","20210524","-","-","-"
"79","대구광역시 남구 이천동","650","0650","0000","보성상아맨션","84.7350","202104","30","47,000","-","6","-","-","1987","명덕로 236","-","-","-","-"
"80","부산광역시 동래구 온천동","152-18","0152","0018","르 메이에르 동래타운","126.1285","202104","30","53,000","-","5","-","-","2005","금강공원로20번길 46","-","-","-","-"
"81","대구광역시 동구 괴전동","125","0125","0000","안심역서원프레시빌","49.5733","202104","30","18,500","-","7","-","-","2018","안심로 477","-","-","-","-"
"82","인천광역시 남동구 구월동","1160","1160","0000","송정","44.0400","202104","30","12,500","-","2","-","-","1988","남동대로725번길 31","-","-","-","-"
"83","대구광역시 동구 사복동","838","0838","0000","대구혁신엘에이치이노힐즈","74.9900","202104","30","32,500","-","6","-","-","2015","메디밸리로 35","-","-","-","-"
"84","인천광역시 남동구 구월동","1132-15","1132","0015","하늘지움","71.1602","202104","30","22,000","-","12","-","-","2018","구월남로 130","-","-","-","-"
"85","인천광역시 서구 마전동","1150","1150","0000","마전3차풍림아이원","84.6689","202104","30","23,600","-","8","-","-","2005","가현로42번길 49","-","-","-","-"
"86","대구광역시 동구 숙천동","388","0388","0000","대구혁신도시서한이다음4차","84.7703","202104","30","28,500","-","1","-","-","2016","초례로 50","-","-","-","-"
"87","인천광역시 남동구 구월동","1508","1508","0000","구월유승한내들퍼스티지","94.0260","202104","30","71,800","-","10","-","-","2016","선수촌로 75","-","-","-","-"
"88","인천광역시 서구 마전동","925","0925","0000","서해","59.9700","202104","30","11,800","-","1","-","-","1992","검단로487번길 44","-","-","-","-"
"89","대구광역시 동구 지묘동","327","0327","0000","팔공보성타운2","47.0300","202104","30","10,600","-","2","-","-","1995","팔공로101길 55","-","-","-","-"
"90","부산광역시 금정구 부곡동","64-23","0064","0023","퀸즈더블유장전역","66.6783","202104","30","34,000","-","14","-","-","2017","부곡온천천로 190","-","-","-","-"
"91","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","76.7400","202104","30","64,700","-","10","-","-","1989","부평문화로 37","-","-","-","-"
"92","서울특별시 용산구 이촌동","404","0404","0000","한가람","84.8900","202104","30","206,000","-","3","-","-","1998","이촌로71길 10","-","-","-","-"
"93","부산광역시 서구 서대신동3가","31-57","0031","0057","금호어울림","80.2500","202104","30","16,012","-","1","-","-","2004","꽃마을로 57","-","-","-","-"
"94","서울특별시 은평구 신사동","35-2","0035","0002","선정(35-2)","73.4300","202104","30","59,500","-","2","-","-","2006","증산로19길 3","-","-","-","-"
"95","광주광역시 남구 주월동","700","0700","0000","명지","59.7900","202104","30","12,100","-","7","-","-","1995","금화로376번길 34","-","-","-","-"
"96","인천광역시 서구 경서동","722-1","0722","0001","태평샹베르1차","84.5496","202104","30","28,000","-","11","-","-","2005","도요지로 15","-","-","-","-"
"97","부산광역시 북구 만덕동","670-1","0670","0001","협성파크","84.9000","202104","30","21,400","-","6","-","-","1997","만덕1로 82","-","-","-","-"
"98","부산광역시 북구 만덕동","761-1","0761","0001","벽산라인훼미리","84.9900","202104","30","19,500","-","3","-","-","1994","만덕대로178번길 29","-","-","-","-"
"99","부산광역시 북구 만덕동","670","0670","0000","만덕대진","48.8600","202104","30","28,800","-","2","-","-","1979","만덕1로 92","-","-","-","-"
"100","광주광역시 남구 송하동","45-1","0045","0001","삼익","84.7800","202104","30","15,000","-","5","-","-","1997","서문대로556번길 6","-","-","-","-"
"101","광주광역시 남구 송하동","43-28","0043","0028","금호타운","59.5500","202104","30","13,600","-","11","-","-","1996","효덕로 291","-","-","-","-"
"102","인천광역시 남동구 구월동","1133-8","1133","0008","더웰메이드","48.2400","202104","30","17,800","-","9","-","-","2015","예술로226번길 30","-","-","-","-"
"103","부산광역시 북구 만덕동","774","0774","0000","럭키","84.2800","202104","30","16,300","-","6","-","-","1991","덕천로 194","-","-","-","-"
"104","인천광역시 남동구 구월동","1132-11","1132","0011","중앙헤리티지","14.3200","202104","30","6,000","-","8","-","-","2012","예술로204번길 39","-","-","-","-"
"105","부산광역시 서구 서대신동3가","769","0769","0000","대신더샵","84.9300","202104","30","59,000","-","7","-","-","2018","꽃마을로 48","-","-","-","-"
"106","서울특별시 구로구 항동","244","0244","0000","우남퍼스트빌더센트럴","84.9149","202104","30","87,000","-","11","-","-","2020","항동로 8","-","-","-","-"
"107","광주광역시 남구 진월동","30","0030","0000","진아리채","84.8544","202104","30","32,000","-","5","-","-","2007","화산로 115","-","-","-","-"
"108","광주광역시 남구 진월동","363-4","0363","0004","옥천","67.4500","202104","30","13,300","-","4","-","-","1982","광복마을3길 26-3","-","-","-","-"
"109","부산광역시 사하구 신평동","668","0668","0000","신평삼한사랑채","84.9735","202104","30","28,700","-","20","-","-","2016","신산북로 5","-","-","-","-"
"110","인천광역시 남동구 구월동","24","0024","0000","롯데캐슬골드","83.7769","202104","30","57,500","-","2","-","-","2007","호구포로 803","-","-","-","-"
"111","인천광역시 부평구 산곡동","38-36","0038","0036","동남","44.2800","202104","30","15,700","-","6","-","-","1988","산청로 32","-","-","-","-"
"112","서울특별시 은평구 진관동","84","0084","0000","우물골2단지두산위브(223~244동)BL2-7","84.8700","202104","30","92,000","-","5","-","-","2010","진관2로 57-37","-","-","-","-"
"113","서울특별시 은평구 진관동","65","0065","0000","은평뉴타운엘크루","59.9800","202104","30","81,000","-","16","-","-","2017","진관3로 21","-","-","-","-"
"114","부산광역시 남구 용당동","599-1","0599","0001","신대연코오롱하늘채","84.6588","202104","30","36,900","-","2","-","-","2007","홍곡로320번길 132","-","-","-","-"
"115","대구광역시 수성구 범어동","2240","2240","0000","e편한세상범어","84.7910","202104","30","89,900","-","16","-","-","2015","들안로78길 45","-","-","-","-"
"116","대구광역시 수성구 범어동","300","0300","0000","가든하이츠1","84.9450","202104","30","101,500","-","7","-","-","1985","범어로 45","-","-","-","-"
"117","서울특별시 강서구 방화동","547-11","0547","0011","한오","47.0600","202104","30","23,500","-","6","-","-","1988","양천로14길 86-5","-","-","-","-"
"118","인천광역시 부평구 십정동","186-7","0186","0007","한국","60.0000","202104","30","21,000","-","1","-","-","1998","이규보로95번길 24","-","-","-","-"
"119","부산광역시 금정구 부곡동","268-2","0268","0002","부곡동푸르지오","84.4100","202104","30","48,800","-","4","-","-","2007","중앙대로 1617-12","-","-","-","-"
"120","인천광역시 계양구 용종동","228-1","0228","0001","초정마을하나","84.9900","202104","30","42,000","-","2","-","-","1997","계양문화로 168","-","-","-","-"
"121","인천광역시 연수구 청학동","545-1","0545","0001","현대","138.6500","202104","30","39,950","-","12","-","-","2000","계림로 111","-","-","-","-"
"122","인천광역시 서구 경서동","994","0994","0000","인천경서아시아드대광로제비앙","84.0741","202104","30","42,000","-","1","-","-","2017","모월곶로 41","-","-","-","-"
"123","서울특별시 서대문구 북아현동","1009","1009","0000","두산","59.9600","202104","30","87,900","-","8","-","-","1999","이화여대8길 62","-","-","-","-"
"124","부산광역시 연제구 연산동","2352","2352","0000","연산더샵","84.7832","202104","30","84,000","-","19","-","-","2019","연수로 130","20210617","-","-","-"
"125","대구광역시 북구 연경동","987","0987","0000","연경동화아이위시","115.2692","202104","30","65,300","-","7","-","-","2020","동화천로 190","-","-","-","-"
